200 4
4.967632491073684 -2.219319997644507 0.7394146766453238
-7.092968951062705 9.334527950857005 1.1927762608709829
-8.583917763830971 8.507720264937054 0.803117238319258
2.5227290451227957 0.9520351952445694 2.5006582254633845
9.550390637009555 5.422792582992252 5.4016346284736185
1.2345351175345214 -8.842599300101451 -2.627861634089063
1.615237949032275 -7.476102061521288 -1.7191127086613205
8.76818757314414 4.130248375648475 7.360408595517542
2.8147939915871842 -0.33727296549177377 2.7043516469710545
0.2983618037333178 -7.427897925477122 -2.45783764225529
9.42766911120719 3.5636258926867903 6.697402038059256
-7.280122124026348 7.335213530776573 1.3853244908911075
-8.118585829960802 8.29877122263193 2.1207790015442853
3.8387571297084144 -1.3518307131374254 -0.5336981406395092
4.783372124366113 -1.6979773167598144 1.8248544513243998
-8.094604028754766 8.55497170144443 2.28375950561844
2.820050411094395 -1.2656789584259438 1.4657724367055787
4.910557935233609 -0.7800032813654607 0.7856967952342088
3.0961433236932225 -1.919736476132094 1.450086405885139
5.660347438120511 -2.181792274167981 2.2571603538926466
8.591857416042425 -2.0496672269317786 -0.10489566639065462
-8.181658539632593 7.076971045966591 2.1743595803675477
4.935123488832367 -4.370491699671893 0.29295577728147915
6.599302713574875 -2.0636885770018734 -0.17179014222062028
-6.604311580858097 9.700284676611417 3.172514352447253
6.089122675964965 -4.005000027709296 -0.5788463687742593
5.8066207753770405 1.7280858624356936 1.4712417876340667
8.673078221507255 -2.566886452866429 -1.5829647627605308
2.6949746857625225 -0.7436263593241011 0.69419123999895
9.265542196889028 6.6954474072744 6.7907516207960885
-6.617332862029873 5.978070134693741 4.093547753586058
-10.81111732347653 8.511890628926071 0.450732186926621
8.211512659053808 3.592153951530298 6.272371258480138
7.588408204806415 -1.295544187554969 -0.6943441918639641
1.1475532349319577 -7.840460983376187 -3.6036691882019705
7.203335307194104 -1.849483221192254 1.7126902383776281
-8.629952709401268 8.37082296367931 1.480004313231599
-8.462162860368176 7.811486838937443 0.47186473395848627
9.073507062290208 3.610876731398962 6.656609420533365
4.453571695256522 -0.7058821929863425 2.0523124893932465
3.1272156360926218 -0.8828656831582973 0.4300541770796664
-6.971581104231198 8.959279920469598 2.1910321613854475
1.2744221262632758 0.2575601638659448 0.9035925074171067
6.927666360345068 -3.5435063741028983 1.275478546605607
9.033195998462906 3.461855734932004 6.504356494510655
-8.643589620489632 7.287926886786508 1.9004647584899825
7.105574224218088 -4.6153335970022775 -0.7833291912146596
-5.832695375448319 10.190122368836096 2.1575065419889454
-0.14081626042623263 -8.888879849499457 -1.8904481051792676
2.754037021815422 -0.17711172891090232 0.5184833653312245
2.6603855264855607 -7.385770549844179 -1.7852631641808607
-8.571825880647037 10.06806654235341 2.5314658065163598
1.833954504422612 -8.337428968364797 -1.2414582087700046
-7.928472798597796 9.241627391959977 2.956266015550385
1.5199467732978742 -9.58809439248428 -2.6383427956846495
4.683714949693603 0.7830825651323419 1.5109859191043085
3.9577402627877847 -2.116891272751367 1.1786312871002522
2.8378602635533126 -7.405768064605903 -2.022036965016361
2.3274183299540687 -3.145631806687871 0.06837641588258958
10.53340187359186 6.017534884802833 5.764589025633333
0.6223660840990137 -9.42760495914856 -2.2512822174860934
3.4640203504480596 -1.275825920326713 1.306127524648046
9.01541611565733 6.084912552455663 4.957718020865387
5.867491748955418 -1.12384381031502 0.32275547618467815
2.099726798661366 -8.08858421392521 -3.900441896173737
-7.4812813193774295 8.018864739175813 3.2856615142081314
-9.741380164851437 7.658907577156368 4.11895512536103
